stage_name,part,episode,stage_number,easy_level,easy_exp,easy_coins,easy_cheerpoint,easy_objectives,normal_level,normal_exp,normal_coins,normal_cheerpoint,normal_objectives,hard_level,hard_exp,hard_coins,hard_cheerpoint,hard_objectives,small_irousu,large_irousu,drops
Special Lesson 56-6: 4th period,2,56,6,20,81,85,90,"- Clear stage without anyone being defeated
- Clear stage within 90 seconds
- Achieve 20 combo",70,258,268,278,"- Clear stage without anyone being defeated
- Clear stage within 90 seconds
- Achieve 20 combo",270,711,730,750,"- Clear stage within 90 seconds
- Clear stage with two team members or fewer
- Clear stage with at least 75% FEVER","39,35,29,5","41,37,31,61","神樹の御守（蕾）
ハンマー・ピース
スピア・ストーン
ガン・ストーン"
Special Lesson 57-2: 1st period,2,57,2,18,90,94,98,"- Clear stage without anyone being defeated
- Clear stage within 150 seconds
- Clear stage within 120 seconds",60,240,250,260,"- Clear stage without anyone being defeated
- Clear stage within 120 seconds
- Clear stage within 90 seconds",241,624,643,663,"- Clear stage within 90 seconds
- Clear stage with two team members or fewer
- Clear stage with at least 75% FEVER","6,39,26","8,41,28","ソード・ピース
スピア・ピース"
Special Lesson 57-3: 2nd period,2,57,3,18,96,99,103,"- Clear stage without anyone being defeated
- Clear stage within 150 seconds
- Clear stage within 120 seconds",62,246,256,266,"- Clear stage without anyone being defeated
- Clear stage within 120 seconds
- Clear stage within 90 seconds",243,630,649,669,"- Clear stage within 90 seconds
- Clear stage with two team members or fewer
- Clear stage with at least 75% FEVER","22,39,36","24,41,38,61,53","ガン・ピース
ロッド・ピース"
Special Lesson 57-5: 3rd period,2,57,5,20,100,104,108,"- Clear stage without anyone being defeated
- Clear stage within 150 seconds
- Clear stage within 120 seconds",64,248,258,268,"- Clear stage without anyone being defeated
- Clear stage within 120 seconds
- Clear stage within 90 seconds",246,638,658,678,"- Clear stage within 90 seconds
- Clear stage with two team members or fewer
- Clear stage with at least 75% FEVER","30,15","8,32,17","スピア・ピース
ハンマー・ピース"
Special Lesson 57-6: 4th period,2,57,6,21,106,109,113,"- Clear stage without anyone being defeated
- Clear stage within 150 seconds
- Clear stage within 120 seconds",66,252,262,272,"- Clear stage without anyone being defeated
- Clear stage within 120 seconds
- Clear stage within 90 seconds",249,648,667,687,"- Clear stage within 120 seconds
- Clear stage with two team members or fewer
- Clear stage with at least 75% FEVER","39,26","53,41,28","ガン・ピース
ロッド・ピース"
Special Lesson 58-2: 1st period,2,58,2,21,106,109,113,"- Clear stage without anyone being defeated
- Clear stage within 150 seconds
- Clear stage within 120 seconds",68,256,266,276,"- Clear stage without anyone being defeated
- Clear stage within 120 seconds
- Clear stage within 90 seconds",252,656,676,696,"- Clear stage within 90 seconds
- Clear stage with two team members or fewer
- Clear stage with at least 75% FEVER","22,36,30,39","24,8,32,41","ソード・ピース
ハンマー・ピース"
Special Lesson 58-3: 2nd period,2,58,3,22,110,114,118,"- Clear stage without anyone being defeated
- Clear stage within 150 seconds
- Clear stage within 120 seconds",70,260,270,280,"- Clear stage without anyone being defeated
- Clear stage within 120 seconds
- Clear stage within 90 seconds",255,666,685,705,"- Clear stage within 90 seconds
- Clear stage with two team members or fewer
- Clear stage with at least 75% FEVER","1,2,30,15,39","17,32,42","ソード・ピース
ロッド・ピース"
Special Lesson 58-5: 3rd period,2,58,5,22,110,114,118,"- Clear stage without anyone being defeated
- Clear stage within 150 seconds
- Clear stage within 120 seconds",72,264,274,284,"- Clear stage without anyone being defeated
- Clear stage within 120 seconds
- Clear stage within 90 seconds",258,674,694,714,"- Clear stage within 90 seconds
- Clear stage with two team members or fewer
- Clear stage with at least 75% FEVER","22,6,30,40,36","24,8,32,42,38","スピア・ピース
ガン・ピース"
Special Lesson 58-6: 4th period,2,58,6,25,120,120,120,"- Clear stage without anyone being defeated
- Clear stage within 150 seconds
- Clear stage within 120 seconds",80,280,290,300,"- Clear stage without anyone being defeated
- Clear stage within 120 seconds
- Clear stage within 90 seconds",275,366,365,365,"- Clear stage within 120 seconds
- Clear stage with two team members or fewer
- Clear stage with at least 75% FEVER",,53,
Special Lesson 59-2: 1st period,2,59,2,24,120,124,128,"- Clear stage without anyone being defeated
- Clear stage within 150 seconds
- Clear stage within 120 seconds",76,273,282,292,"- Clear stage without anyone being defeated
- Clear stage within 120 seconds
- Clear stage within 90 seconds",263,690,709,729,"- Clear stage within 90 seconds
- Clear stage with two team members or fewer
- Clear stage with at least 75% FEVER","5,6,35,36","61,7,8","ソード・ピース
スピア・ピース"
Special Lesson 59-3: 2nd period,2,59,3,24,120,124,128,"- Clear stage without anyone being defeated
- Clear stage within 150 seconds
- Clear stage within 120 seconds",78,276,286,296,"- Clear stage without anyone being defeated
- Clear stage within 120 seconds
- Clear stage within 90 seconds",267,702,721,741,"- Clear stage within 90 seconds
- Clear stage with two team members or fewer
- Clear stage with at least 75% FEVER","39,21,14,29,40","23,41,31,16,61","ガン・ピース
ロッド・ピース"
Special Lesson 59-5: 3rd period,2,59,5,25,126,129,133,"- Clear stage without anyone being defeated
- Clear stage within 150 seconds
- Clear stage within 120 seconds",80,282,290,300,"- Clear stage without anyone being defeated
- Clear stage within 120 seconds
- Clear stage within 90 seconds",270,711,730,750,"- Clear stage within 90 seconds
- Clear stage with two team members or fewer
- Clear stage with at least 75% FEVER","25,26,6","27,61,28,7","スピア・ピース
ハンマー・ピース"
Special Lesson 59-6: 4th period,2,59,6,25,126,129,133,"- Clear stage without anyone being defeated
- Clear stage within 150 seconds
- Clear stage within 120 seconds",82,285,294,304,"- Clear stage without anyone being defeated
- Clear stage within 120 seconds
- Clear stage within 90 seconds",273,720,740,760,"- Clear stage within 120 seconds
- Clear stage with two team members or fewer
- Clear stage without using skills","25,5,6,29,30,14,15,26","37,16,31,28","ガン・ピース
ロッド・ピース
ロッド・ストーン"
Special Lesson 60-2: 1st period,2,60,2,26,132,134,138,"- Clear stage without anyone being defeated
- Clear stage within 150 seconds
- Clear stage within 120 seconds",84,288,298,308,"- Clear stage without anyone being defeated
- Clear stage within 120 seconds
- Clear stage within 90 seconds",275,726,745,765,"- Clear stage within 90 seconds
- Clear stage with two team members or fewer
- Clear stage with at least 75% FEVER","21,14,39,22","23,41,42","ソード・ピース
ハンマー・ピース
ハンマー・ストーン"
Special Lesson 60-3: 2nd period,2,60,3,27,135,139,143,"- Clear stage without anyone being defeated
- Clear stage within 150 seconds
- Clear stage within 120 seconds",86,294,302,312,"- Clear stage without anyone being defeated
- Clear stage within 120 seconds
- Clear stage within 90 seconds",278,726,744,764,"- Clear stage within 90 seconds
- Clear stage with two team members or fewer
- Clear stage with at least 75% FEVER","5,6,35,36","7,8,37,38,9","ソード・ピース
ソード・ストーン
ロッド・ピース"
Special Lesson 60-5: 3rd period,2,60,5,28,141,144,148,"- Clear stage without anyone being defeated
- Clear stage within 150 seconds
- Clear stage within 120 seconds",90,300,310,320,"- Clear stage without anyone being defeated
- Clear stage within 120 seconds
- Clear stage within 90 seconds",280,741,760,780,"- Clear stage within 90 seconds
- Clear stage with two team members or fewer
- Clear stage with at least 75% FEVER","14,29,15,30,46,44","16,31,17,32,48","スピア・ピース
スピア・ストーン
ガン・ピース"
Special Lesson 60-6: 4th period,2,60,6,30,150,155,160,"- Clear stage without anyone being defeated
- Clear stage within 150 seconds
- Clear stage within 120 seconds",100,321,400,400,"- Clear stage without anyone being defeated
- Clear stage within 150 seconds
- Clear stage within 120 seconds",300,801,820,840,"- Clear stage with only one team member
- Clear stage within 120 seconds
- Clear stage without using skills","44,47",59,
Special Lesson 61-2: 1st period,2,61,2,28,141,144,148,"- Clear stage without anyone being defeated
- Clear stage within 150 seconds
- Clear stage within 120 seconds",90,300,310,320,"- Clear stage without anyone being defeated
- Clear stage within 120 seconds
- Clear stage within 90 seconds",275,726,745,765,"- Clear stage within 90 seconds
- Clear stage with two team members or fewer
- Clear stage with at least 75% FEVER","25,21,35","27,23,28,24","ソード・ピース
スピア・ピース"
Special Lesson 61-3: 2nd period,2,61,3,29,147,149,153,"- Clear stage without anyone being defeated
- Clear stage within 150 seconds
- Clear stage within 120 seconds",92,306,314,325,"- Clear stage without anyone being defeated
- Clear stage within 120 seconds
- Clear stage within 90 seconds",277,732,751,771,"- Clear stage within 90 seconds
- Clear stage with two team members or fewer
- Clear stage with at least 75% FEVER","14,39,15,40","16,41,17,42","ガン・ピース
ロッド・ピース"
Special Lesson 61-5: 3rd period,2,61,5,30,150,154,158,"- Clear stage without anyone being defeated
- Clear stage within 150 seconds
- Clear stage within 120 seconds",94,309,318,328,"- Clear stage without anyone being defeated
- Clear stage within 120 seconds
- Clear stage within 90 seconds",279,738,757,777,"- Clear stage within 90 seconds
- Clear stage with two team members or fewer
- Clear stage with at least 75% FEVER","5,39,35,21","7,23,24,8","スピア・ピース
ハンマー・ピース"
Special Lesson 61-6: 4th period,2,61,6,31,156,159,163,"- Clear stage without anyone being defeated
- Clear stage within 150 seconds
- Clear stage within 120 seconds",96,312,322,332,"- Clear stage without anyone being defeated
- Clear stage within 120 seconds
- Clear stage within 90 seconds",281,744,763,783,"- Clear stage within 120 seconds
- Clear stage with two team members or fewer
- Clear stage without using skills","14,21,46,29","48,16,31,23,32","ガン・ピース
ロッド・ピース"
Special Lesson 62-2: 1st period,2,62,2,31,156,159,163,"- Clear stage without anyone being defeated
- Clear stage within 150 seconds
- Clear stage within 120 seconds",98,318,326,336,"- Clear stage without anyone being defeated
- Clear stage within 120 seconds
- Clear stage within 90 seconds",284,753,772,792,"- Clear stage within 90 seconds
- Clear stage with two team members or fewer
- Clear stage with at least 75% FEVER","25,5,35","27,37,7,28,38","ソード・ピース
ハンマー・ピース"
Special Lesson 62-3: 2nd period,2,62,3,32,162,164,168,"- Clear stage without anyone being defeated
- Clear stage within 150 seconds
- Clear stage within 120 seconds",100,321,330,340,"- Clear stage without anyone being defeated
- Clear stage within 120 seconds
- Clear stage within 90 seconds",286,759,778,798,"- Clear stage within 90 seconds
- Clear stage with two team members or fewer
- Clear stage with at least 75% FEVER","39,25,21","41,27,23,28","ソード・ピース
ロッド・ピース"
Special Lesson 62-5: 3rd period,2,62,5,32,162,164,168,"- Clear stage without anyone being defeated
- Clear stage within 150 seconds
- Clear stage within 120 seconds",102,324,334,344,"- Clear stage without anyone being defeated
- Clear stage within 120 seconds
- Clear stage within 90 seconds",288,765,784,804,"- Clear stage within 90 seconds
- Clear stage with two team members or fewer
- Clear stage with at least 75% FEVER","5,14,21,29","7,23,16,31","スピア・ピース
ガン・ピース"
Special Lesson 62-6: 4th period,2,62,6,33,165,169,173,"- Clear stage without anyone being defeated
- Clear stage within 150 seconds
- Clear stage within 120 seconds",104,330,338,348,"- Clear stage without anyone being defeated
- Clear stage within 120 seconds
- Clear stage within 90 seconds",290,771,790,810,"- Clear stage within 120 seconds
- Clear stage with two team members or fewer
- Clear stage without using skills","29,21,46,44","23,7,31,48","ハンマー・ピース
ロッド・ピース"
Special Lesson 63-2: 1st period,2,63,2,34,171,174,178,"- Clear stage without anyone being defeated
- Clear stage within 150 seconds
- Clear stage within 120 seconds",106,333,342,352,"- Clear stage without anyone being defeated
- Clear stage within 120 seconds
- Clear stage within 90 seconds",291,774,793,813,"- Clear stage within 90 seconds
- Clear stage with two team members or fewer
- Clear stage with at least 75% FEVER","5,6,29,30,35,14","7,9,31,37,16","ソード・ピース
スピア・ピース"
Special Lesson 63-3: 2nd period,2,63,3,34,171,174,178,"- Clear stage without anyone being defeated
- Clear stage within 150 seconds
- Clear stage within 120 seconds",108,336,346,356,"- Clear stage without anyone being defeated
- Clear stage within 120 seconds
- Clear stage within 90 seconds",292,777,796,816,"- Clear stage within 90 seconds
- Clear stage with two team members or fewer
- Clear stage with at least 75% FEVER","14,5,21,46,29,35","16,7,48,31,37","ガン・ピース
ロッド・ピース"
Special Lesson 63-5: 3rd period,2,63,5,35,177,179,183,"- Clear stage without anyone being defeated
- Clear stage within 150 seconds
- Clear stage within 120 seconds",110,342,350,360,"- Clear stage without anyone being defeated
- Clear stage within 120 seconds
- Clear stage within 90 seconds",293,780,799,819,"- Clear stage within 90 seconds
- Clear stage with two team members or fewer
- Clear stage with at least 75% FEVER","25,26,21,14","28,16,27,23","スピア・ピース
ハンマー・ピース"
Special Lesson 63-6: 4th period,2,63,6,35,177,179,183,"- Clear stage without anyone being defeated
- Clear stage within 150 seconds
- Clear stage within 120 seconds",112,345,354,364,"- Clear stage without anyone being defeated
- Clear stage within 120 seconds
- Clear stage within 90 seconds",294,783,802,822,"- Clear stage within 120 seconds
- Clear stage with two team members or fewer
- Clear stage without using skills","35,5,29,39,44","37,31,48,38,7","ガン・ピース
ロッド・ピース
ロッド・ストーン"
Special Lesson 64-2: 1st period,2,64,2,36,180,184,188,"- Clear stage without anyone being defeated
- Clear stage within 150 seconds
- Clear stage within 120 seconds",114,348,358,368,"- Clear stage without anyone being defeated
- Clear stage within 120 seconds
- Clear stage within 90 seconds",296,789,808,828,"- Clear stage within 90 seconds
- Clear stage with two team members or fewer
- Clear stage with at least 75% FEVER","44,29,14,5","9,7,61","ソード・ピース
ハンマー・ピース
ハンマー・ストーン"
Special Lesson 64-3: 2nd period,2,64,3,37,186,189,193,"- Clear stage without anyone being defeated
- Clear stage within 150 seconds
- Clear stage within 120 seconds",116,354,362,372,"- Clear stage without anyone being defeated
- Clear stage within 120 seconds
- Clear stage within 90 seconds",298,795,814,834,"- Clear stage within 90 seconds
- Clear stage with two team members or fewer
- Clear stage with at least 75% FEVER","5,29,46,14,39,35",61,"ソード・ピース
ソード・ストーン
ロッド・ピース"
Special Lesson 64-5: 3rd period,2,64,5,38,192,194,198,"- Clear stage without anyone being defeated
- Clear stage within 150 seconds
- Clear stage within 120 seconds",120,360,370,380,"- Clear stage without anyone being defeated
- Clear stage within 120 seconds
- Clear stage within 90 seconds",300,801,820,840,"- Clear stage within 90 seconds
- Clear stage with two team members or fewer
- Clear stage with at least 75% FEVER","25,26","61,45","スピア・ピース
スピア・ストーン
ガン・ピース"
Special Lesson 64-7: 4th period,2,64,7,40,201,210,220,"- Clear stage without anyone being defeated
- Clear stage within 150 seconds
- Clear stage within 120 seconds",130,381,500,500,"- Clear stage without anyone being defeated
- Clear stage within 150 seconds
- Clear stage within 120 seconds",320,861,880,900,"- Clear stage within 120 seconds
- Clear stage with two team members or fewer
- Clear stage without using skills","47,44","59,61",
Special Lesson 65-2: 1st period,2,65,2,38,190,194,198,"- Clear stage without anyone being defeated
- Clear stage within 150 seconds
- Clear stage within 120 seconds",120,360,370,380,"- Clear stage without anyone being defeated
- Clear stage within 120 seconds
- Clear stage within 90 seconds",291,774,793,813,"- Clear stage within 90 seconds
- Clear stage with two team members or fewer
- Clear stage with at least 75% FEVER","39,5,6,40","7,41,8,42,9","ソード・ピース
スピア・ピース"
Special Lesson 65-3: 2nd period,2,65,3,39,195,199,203,"- Clear stage without anyone being defeated
- Clear stage within 150 seconds
- Clear stage within 120 seconds",122,366,374,384,"- Clear stage without anyone being defeated
- Clear stage within 120 seconds
- Clear stage within 90 seconds",292,777,796,816,"- Clear stage within 90 seconds
- Clear stage with two team members or fewer
- Clear stage with at least 75% FEVER","21,29,22,30","23,31,24,32","ガン・ピース
ロッド・ピース"
Special Lesson 65-5: 3rd period,2,65,5,40,201,204,208,"- Clear stage without anyone being defeated
- Clear stage within 150 seconds
- Clear stage within 120 seconds",124,369,378,388,"- Clear stage without anyone being defeated
- Clear stage within 120 seconds
- Clear stage within 90 seconds",294,783,802,822,"- Clear stage within 90 seconds
- Clear stage with two team members or fewer
- Clear stage with at least 75% FEVER","14,35,15,36","37,16,7,31,17,38","スピア・ピース
ハンマー・ピース"
Special Lesson 65-6: 4th period,2,65,6,41,204,206,210,"- Clear stage without anyone being defeated
- Clear stage within 150 seconds
- Clear stage within 120 seconds",126,372,382,392,"- Clear stage without anyone being defeated
- Clear stage within 120 seconds
- Clear stage within 90 seconds",296,789,808,828,"- Clear stage within 120 seconds
- Clear stage with two team members or fewer
- Clear stage without using skills","29,25,30,26","27,31,23,28,32","ガン・ピース
ロッド・ピース"
Special Lesson 66-2: 1st period,2,66,2,41,204,206,210,"- Clear stage without anyone being defeated
- Clear stage within 150 seconds
- Clear stage within 120 seconds",128,378,386,396,"- Clear stage without anyone being defeated
- Clear stage within 120 seconds
- Clear stage within 90 seconds",298,795,814,834,"- Clear stage within 90 seconds
- Clear stage with two team members or fewer
- Clear stage with at least 75% FEVER","5,25,29,46","16,31,32","ソード・ピース
ハンマー・ピース"
Special Lesson 66-3: 2nd period,2,66,3,42,204,208,212,"- Clear stage without anyone being defeated
- Clear stage within 150 seconds
- Clear stage within 120 seconds",130,381,390,400,"- Clear stage without anyone being defeated
- Clear stage within 120 seconds
- Clear stage within 90 seconds",300,801,820,840,"- Clear stage within 90 seconds
- Clear stage with two team members or fewer
- Clear stage with at least 75% FEVER","14,21,39","23,27,28","ソード・ピース
ロッド・ピース"
Special Lesson 66-5: 3rd period,2,66,5,42,204,208,212,"- Clear stage without anyone being defeated
- Clear stage within 150 seconds
- Clear stage within 120 seconds",132,384,394,404,"- Clear stage without anyone being defeated
- Clear stage within 120 seconds
- Clear stage within 90 seconds",302,807,826,846,"- Clear stage within 90 seconds
- Clear stage with two team members or fewer
- Clear stage with at least 75% FEVER","21,29,5,25","7,37,38,9","ガン・ピース
スピア・ピース"
Special Lesson 66-6: 4th period,2,66,6,43,207,210,214,"- Clear stage without anyone being defeated
- Clear stage within 150 seconds
- Clear stage within 120 seconds",134,390,398,408,"- Clear stage without anyone being defeated
- Clear stage within 120 seconds
- Clear stage within 90 seconds",303,810,829,849,"- Clear stage within 120 seconds
- Clear stage with two team members or fewer
- Clear stage without using skills","46,14,21,29","23,41,42,48","ハンマー・ピース
ロッド・ピース"
Special Lesson 67-2: 1st period,2,67,2,44,210,212,216,"- Clear stage without anyone being defeated
- Clear stage within 150 seconds
- Clear stage within 120 seconds",136,396,406,416,"- Clear stage without anyone being defeated
- Clear stage within 120 seconds
- Clear stage within 90 seconds",304,813,832,852,"- Clear stage within 90 seconds
- Clear stage with two team members or fewer
- Clear stage with at least 75% FEVER","25,26","27,28","ソード・ピース
スピア・ピース"
Special Lesson 67-3: 2nd period,2,67,3,44,210,212,216,"- Clear stage without anyone being defeated
- Clear stage within 150 seconds
- Clear stage within 120 seconds",138,399,408,418,"- Clear stage without anyone being defeated
- Clear stage within 120 seconds
- Clear stage within 90 seconds",305,816,835,855,"- Clear stage within 90 seconds
- Clear stage with two team members or fewer
- Clear stage with at least 75% FEVER","29,25,30","31,27,28,32,61","ガン・ピース
ロッド・ピース"
Special Lesson 67-5: 3rd period,2,67,5,45,210,214,218,"- Clear stage without anyone being defeated
- Clear stage within 150 seconds
- Clear stage within 120 seconds",140,402,410,420,"- Clear stage without anyone being defeated
- Clear stage within 120 seconds
- Clear stage within 90 seconds",306,819,838,858,"- Clear stage within 90 seconds
- Clear stage with two team members or fewer
- Clear stage with at least 75% FEVER","29,5,21,14,46,44","31,37,23,27,16,7,41,61","スピア・ピース
ハンマー・ピース"
Special Lesson 67-6: 4th period,2,67,6,45,210,214,218,"- Clear stage without anyone being defeated
- Clear stage within 150 seconds
- Clear stage within 120 seconds",142,405,414,424,"- Clear stage without anyone being defeated
- Clear stage within 120 seconds
- Clear stage within 90 seconds",307,822,841,861,"- Clear stage within 120 seconds
- Clear stage with two team members or fewer
- Clear stage without using skills","14,21,25,46,35,29","23,16,27,7,41,37,31,9,61","ガン・ピース
ロッド・ピース
ロッド・ストーン"
Special Lesson 68-2: 1st period,2,68,2,46,213,216,220,"- Clear stage without anyone being defeated
- Clear stage within 150 seconds
- Clear stage within 120 seconds",144,408,418,428,"- Clear stage without anyone being defeated
- Clear stage within 120 seconds
- Clear stage within 90 seconds",308,825,844,864,"- Clear stage within 90 seconds
- Clear stage with two team members or fewer
- Clear stage with at least 75% FEVER","21,35,39","61,23,37,41,7","ソード・ピース
ハンマー・ピース
ハンマー・ストーン"
Special Lesson 68-3: 2nd period,2,68,3,47,216,218,222,"- Clear stage without anyone being defeated
- Clear stage within 150 seconds
- Clear stage within 120 seconds",146,414,422,432,"- Clear stage without anyone being defeated
- Clear stage within 120 seconds
- Clear stage within 90 seconds",309,828,847,867,"- Clear stage within 90 seconds
- Clear stage with two team members or fewer
- Clear stage with at least 75% FEVER","25,21,29,46","61,31,23,16,7,27,41","ソード・ピース
ソード・ストーン
ロッド・ピース"
Special Lesson 68-5: 3rd period,2,68,5,48,216,220,224,"- Clear stage without anyone being defeated
- Clear stage within 150 seconds
- Clear stage within 120 seconds",150,420,430,440,"- Clear stage without anyone being defeated
- Clear stage within 120 seconds
- Clear stage within 90 seconds",310,831,850,870,"- Clear stage within 90 seconds
- Clear stage with two team members or fewer
- Clear stage with at least 75% FEVER","40,30,26,36,47,22,6,15","42,32,28,38,24,48,10,17,61","スピア・ピース
スピア・ストーン
ガン・ピース"
Special Lesson 68-6: 4th period,2,68,6,50,222,224,228,"- Clear stage without anyone being defeated
- Clear stage within 150 seconds
- Clear stage within 120 seconds",160,441,450,460,"- Clear stage without anyone being defeated
- Clear stage within 150 seconds
- Clear stage within 120 seconds",325,876,895,915,"- Clear stage within 150 seconds
- Clear stage with two team members or fewer
- Clear stage with at least 50% FEVER","5,21,14,25,29,39,6,35,15,22,40,36","61,23,27,31,41,37,9,18","f*fのヘアピン
ハンマー・ピース
ガン・ストーン
ロッド・ピース"
Special Lesson 69-2: 1st period,2,69,2,48,216,220,224,"- Clear stage without anyone being defeated
- Clear stage within 150 seconds
- Clear stage within 120 seconds",150,420,430,440,"- Clear stage without anyone being defeated
- Clear stage within 120 seconds
- Clear stage within 90 seconds",301,804,823,843,"- Clear stage within 90 seconds
- Clear stage with two team members or fewer
- Clear stage with at least 75% FEVER","5,21,25,46,6","7,27,37,31,8,9,38,61","ソード・ピース
スピア・ピース"
Special Lesson 69-3: 2nd period,2,69,3,49,219,222,226,"- Clear stage without anyone being defeated
- Clear stage within 150 seconds
- Clear stage within 120 seconds",152,426,434,444,"- Clear stage without anyone being defeated
- Clear stage within 120 seconds
- Clear stage within 90 seconds",302,806,826,846,"- Clear stage within 90 seconds
- Clear stage with two team members or fewer
- Clear stage with at least 75% FEVER","5,25,44,46,15","31,16,27,7,18,61","ガン・ピース
ロッド・ピース"
Special Lesson 69-5: 3rd period,2,69,5,50,222,224,228,"- Clear stage without anyone being defeated
- Clear stage within 150 seconds
- Clear stage within 120 seconds",154,429,438,448,"- Clear stage without anyone being defeated
- Clear stage within 120 seconds
- Clear stage within 90 seconds",304,812,832,852,"- Clear stage within 90 seconds
- Clear stage with two team members or fewer
- Clear stage with at least 75% FEVER","29,14,39,21","41,23,16,31,24,42,61","スピア・ピース
ハンマー・ピース"
Special Lesson 69-6: 4th period,2,69,6,51,222,226,230,"- Clear stage without anyone being defeated
- Clear stage within 150 seconds
- Clear stage within 120 seconds",156,432,442,452,"- Clear stage without anyone being defeated
- Clear stage within 120 seconds
- Clear stage within 90 seconds",306,818,838,858,"- Clear stage within 120 seconds
- Clear stage with two team members or fewer
- Clear stage without using skills","25,21,5,39,44,14,26","27,23,16,7,28,61","ガン・ピース
ロッド・ピース"
Special Lesson 70-2: 1st period,2,70,2,51,222,226,230,"- Clear stage without anyone being defeated
- Clear stage within 150 seconds
- Clear stage within 120 seconds",158,438,446,456,"- Clear stage without anyone being defeated
- Clear stage within 120 seconds
- Clear stage within 90 seconds",308,824,844,864,"- Clear stage within 90 seconds
- Clear stage with two team members or fewer
- Clear stage with at least 75% FEVER","30,26,22,39","61,8,41,42,16,17,27,28","ソード・ピース
ハンマー・ピース"
Special Lesson 70-3: 2nd period,2,70,3,52,225,228,232,"- Clear stage without anyone being defeated
- Clear stage within 150 seconds
- Clear stage within 120 seconds",160,441,450,460,"- Clear stage without anyone being defeated
- Clear stage within 120 seconds
- Clear stage within 90 seconds",310,830,850,870,"- Clear stage within 90 seconds
- Clear stage with two team members or fewer
- Clear stage with at least 75% FEVER","21,5,6,22,35,36","7,23,8,24,37,38,61","ソード・ピース
ロッド・ピース"
Special Lesson 70-5: 3rd period,2,70,5,52,225,228,232,"- Clear stage without anyone being defeated
- Clear stage within 150 seconds
- Clear stage within 120 seconds",162,444,454,464,"- Clear stage without anyone being defeated
- Clear stage within 120 seconds
- Clear stage within 90 seconds",312,836,856,876,"- Clear stage within 90 seconds
- Clear stage with two team members or fewer
- Clear stage with at least 75% FEVER","39,21,46,25,35,15,5,14","16,31,18,61","スピア・ピース
ガン・ピース"
Special Lesson 70-6: 4th period,2,70,6,53,228,230,234,"- Clear stage without anyone being defeated
- Clear stage within 150 seconds
- Clear stage within 120 seconds",164,450,458,468,"- Clear stage without anyone being defeated
- Clear stage within 120 seconds
- Clear stage within 90 seconds",313,840,859,879,"- Clear stage within 120 seconds
- Clear stage with two team members or fewer
- Clear stage without using skills","22,15,36,5,47,40,26,39","48,42,49,61","ハンマー・ピース
ロッド・ピース"
Special Lesson 71-2: 1st period,2,71,2,54,228,232,236,"- Clear stage without anyone being defeated
- Clear stage within 150 seconds
- Clear stage within 120 seconds",166,453,462,472,"- Clear stage without anyone being defeated
- Clear stage within 120 seconds
- Clear stage within 90 seconds",314,842,862,882,"- Clear stage within 90 seconds
- Clear stage with two team members or fewer
- Clear stage with at least 75% FEVER","29,30,35,39,5","7,9,37,61,41,10","ソード・ピース
スピア・ピース"
Special Lesson 71-3: 2nd period,2,71,3,54,228,232,236,"- Clear stage without anyone being defeated
- Clear stage within 150 seconds
- Clear stage within 120 seconds",168,456,466,476,"- Clear stage without anyone being defeated
- Clear stage within 120 seconds
- Clear stage within 90 seconds",315,846,865,885,"- Clear stage within 90 seconds
- Clear stage with two team members or fewer
- Clear stage with at least 75% FEVER","14,29,25,21,30,46,47","18,31,61,27,48,7,19","ガン・ピース
ロッド・ピース"
Special Lesson 71-5: 3rd period,2,71,5,55,231,234,238,"- Clear stage without anyone being defeated
- Clear stage within 150 seconds
- Clear stage within 120 seconds",170,462,470,480,"- Clear stage without anyone being defeated
- Clear stage within 120 seconds
- Clear stage within 90 seconds",316,849,868,888,"- Clear stage within 90 seconds
- Clear stage with two team members or fewer
- Clear stage with at least 75% FEVER","35,25,26,5,21,22","37,27,28,8,23,24,38,9","スピア・ピース
ハンマー・ピース"
Special Lesson 71-6: 4th period,2,71,6,55,231,234,238,"- Clear stage without anyone being defeated
- Clear stage within 150 seconds
- Clear stage within 120 seconds",172,665,474,484,"- Clear stage without anyone being defeated
- Clear stage within 120 seconds
- Clear stage within 90 seconds",317,852,871,891,"- Clear stage within 120 seconds
- Clear stage with two team members or fewer
- Clear stage without using skills","21,25,36,5","23,27,28,37,38,7,24","ガン・ピース
ロッド・ピース
ロッド・ストーン"
Special Lesson 72-2: 1st period,2,72,2,56,234,236,240,"- Clear stage without anyone being defeated
- Clear stage within 150 seconds
- Clear stage within 120 seconds",174,468,478,488,"- Clear stage without anyone being defeated
- Clear stage within 120 seconds
- Clear stage within 90 seconds",318,855,874,894,"- Clear stage within 90 seconds
- Clear stage with two team members or fewer
- Clear stage with at least 75% FEVER","25,29,5","16,31,7,18","ソード・ピース
ハンマー・ピース
ハンマー・ストーン"
Special Lesson 72-3: 2nd period,2,72,3,57,234,238,242,"- Clear stage without anyone being defeated
- Clear stage within 150 seconds
- Clear stage within 120 seconds",176,474,482,492,"- Clear stage without anyone being defeated
- Clear stage within 120 seconds
- Clear stage within 90 seconds",319,858,877,897,"- Clear stage within 90 seconds
- Clear stage with two team members or fewer
- Clear stage with at least 75% FEVER","21,46,39,22,47","23,41,48,49","ソード・ピース
ソード・ストーン
ロッド・ピース"
